Nicho;Empresa;Telefone;Endereço;Cidade
Salão de Beleza;Studio 217 Beleza, Estética e Saúde;Sem telefone;Endereço não encontrado;são bernardo do campo
Salão de Beleza;Salão de Beleza - Le Ville;(11) 94968-1402;R. Marcelino Augustinho Batistini, 13 - Dos Casa, São Bernardo do Campo - SP, 09850-050;são bernardo do campo
Contabilidade;Escritório de contabilidade em São Bernardo do Campo no ABC - Dinelly;(11) 4330-1200;R. Mediterrâneo, 385 - Jardim do Mar, São Bernardo do Campo - SP, 09750-420;são bernardo do campo
Contabilidade;PROCONT CONTABILIDADE;(11) 2381-8706;Rua Álvaro Alvim, 707 - Paulicéia, São Bernardo do Campo - SP, 09693-000;são bernardo do campo
Contabilidade;Hive GE - Contabilidade e Gestão Empresarial;(11) 98282-1976;R. José Versolato, 111 - Bloco B - Sala 3311 - São Bernardo do Campo, SP, 09750-730;são bernardo do campo
Clínicas de Estética;Clinica Madrid - São Bernardo do Campo;(11) 91372-7832;Rua Municipal, 255 - Centro, São Bernardo do Campo - SP, 09710-211;são bernardo do campo
Lojas de Roupa;Baba Moça - Loja de Roupas, Boutique Feminina & Loja de Moda Feminina;(11) 4332-7284;Av. Sen. Fláquer, 580 - Vila Euclides, São Bernardo do Campo - SP, 09725-442;são bernardo do campo
Barbearias;Barbearia Dom Jóra - Barbearia Oldschool de São Bernardo do Campo;(11) 99201-7808;R. Anita Franchini, 301 - Santa Terezinha, São Bernardo do Campo - SP, 09715-270;são bernardo do campo
Pizzarias;Santo Disco Pizzaria;(11) 2564-8257;R. Carlos Gomes, 314 - Centro, São Bernardo do Campo - SP, 09715-130;são bernardo do campo
Farmácias;Drogasil;(11) 93266-6531;R. Mal. Deodoro, 817 - Centro, São Bernardo do Campo - SP, 09710-011;são bernardo do campo
Floriculturas;Floricultura Alanis Flores;(11) 94266-3749;Floricultura Alanis Flores - Alameda Dona Tereza Cristina, 720 - Nova Petrópolis, São Bernardo do Campo - SP, 09770-330;são bernardo do campo
Floriculturas;Floricultura Capri SBC;(11) 98535-2849;Box 4 - Ac. Praça da Saudade - Jardim do Mar, São Bernardo do Campo - SP, 09726-140;são bernardo do campo
Materiais de Construção;Joli Materiais Para Construção - São Bernardo;(11) 2955-1000;Av. João Firmino, 81 - Assunção, São Bernardo do Campo - SP, 09810-260;são bernardo do campo
Auto Peças;Auto Peças Castelo Branco;(11) 94212-2377;Av. Humberto de Alencar Castelo Branco, 3954 - 3960/3966 - Assunção, São Bernardo do Campo - SP, 09850-300;são bernardo do campo
Supermercados;Barbosa Supermercado 24h;(11) 4390-3224;Av. Piraporinha, 837 - Planalto, São Bernardo do Campo - SP, 09891-001;são bernardo do campo
Padarias;Bella Assunção - Casa de Pães;(11) 4109-5542;R. Cristiano Angeli, 1458 - Assunção, São Bernardo do Campo - SP, 09812-600;são bernardo do campo
Veterinários;Centro Veterinário Assunção - 24h;(11) 4351-4281;R. Ana Maria Martinez, 180 - Assunção, São Bernardo do Campo - SP, 09811-000;são bernardo do campo
Veterinários;Vetplace SBC;(11) 2374-5842;R. Vera Cruz, 791 - Anchieta, São Bernardo do Campo - SP, 09608-100;são bernardo do campo
Veterinários;Amigos de Patas Clínica Veterinária;(11) 2833-2450;Alameda Dona Tereza Cristina, 539 - Nova Petrópolis, São Bernardo do Campo - SP, 09770-330;são bernardo do campo
Veterinários;Clínica Veterinária Entrebichos;(11) 2833-2777;Av. Gen. Barreto de Menezes, 520 - Ferrazópolis, São Bernardo do Campo - SP, 09791-150;são bernardo do campo
Depósitos de Construção;LUA NOVA - São Bernardo do Campo - SP - unidade 2;(11) 4343-6299;Av. Humberto de Alencar Castelo Branco, 2268 - Assunção, São Bernardo do Campo - SP, 09850-300;são bernardo do campo
Escolas;Escola Vereda São Bernardo do Campo;(11) 4972-7350;R. Odeon, 150 - Vila Alcantara, São Bernardo do Campo - SP, 09720-290;são bernardo do campo
Escolas;Colégio CAMP;(11) 4344-2300;Av. Robert Kennedy, 2950 - Assunção, São Bernardo do Campo - SP, 09860-214;são bernardo do campo
Escolas;Escola CEAC - Centro Educacional AConchego;(11) 4351-2472;R. Dr. Antônio Jorge Franco, 135 - Assunção, São Bernardo do Campo - SP, 09810-050;são bernardo do campo
Escolas;Escola Estadual 20 de Agosto;(11) 4332-2469;R. Armando Sales de Oliveira, 123 - Centro, São Bernardo do Campo - SP, 09715-390;são bernardo do campo
Lojas de Informática;DELTRONIC INFORMÁTICA;(11) 4338-0632;R. Tiradentes, 1726 - Loja 04 - Santa Terezinha, São Bernardo do Campo - SP, 09781-220;são bernardo do campo
Concessionárias;Chevrolet Viamar São Bernardo do Campo;(11) 4122-7000;Av. Pereira Barreto, 1380 - Baeta Neves, São Bernardo do Campo - SP, 09751-160;são bernardo do campo
Hotéis;Pampas Palace Hotel;(11) 4122-2000;Av. Barão de Mauá, 71 - Jardim Chácara Inglesa, São Bernardo do Campo - SP, 09726-000;são bernardo do campo
Clínicas Médicas;Clínica Pró Saúde;(11) 4330-6013;Av. Índico, 746 - Jardim do Mar, São Bernardo do Campo - SP, 09750-601;são bernardo do campo
Clínicas Médicas;Cemesb-Centro Médico São Bernardo S/C Ltda;(11) 2758-4657;Av. Índico, 30 - Centro, São Bernardo do Campo - SP, 09750-600;são bernardo do campo
Clínicas Médicas;CLÍNICA AMALFI | São Bernardo Campo;(11) 4121-2600;R. Jurubatuba, 845 - Centro, São Bernardo do Campo - SP, 09725-210;são bernardo do campo
Laboratórios;Laboratório Fleury São Bernardo do Campo;(11) 3179-0822;Av. Lucas Nogueira Garcez, 709 - Centro, São Bernardo do Campo - SP, 09750-660;são bernardo do campo
